"region_country","year","total_ev_stock"
"Slovakia",2015,"52.07"
"Slovakia",2016,"59.07"
"Slovakia",2017,"210.22"
"Slovakia",2018,"290.3"
"Slovakia",2019,"360.36"
"Slovakia",2020,"1782.3"
"Slovakia",2021,"2303"
"Slovakia",2022,"3003.7"
"Slovakia",2023,"5306.1"
"Slovakia",2024,"4404.8"
"Slovenia",2016,"186.32"
"Slovenia",2017,"460.64"
"Slovenia",2018,"660.91"
"Slovenia",2019,"218.29"
"Slovenia",2020,"1642.1"
"Slovenia",2021,"2013.8"
"Slovenia",2022,"2896.2"
"Slovenia",2023,"5511"
"Slovenia",2024,"4308.1"
"South Africa",2013,"102.03304"
"South Africa",2014,"126.01604"
"South Africa",2015,"850.5112"
"South Africa",2016,"1405.4088"
"South Africa",2017,"1480.4944"
"South Africa",2018,"1629.2482"
"South Africa",2019,"2147.4405"
"South Africa",2020,"2434.5866"
"South Africa",2021,"2526.5968"
"South Africa",2022,"3512.35217"
"South Africa",2023,"7707.2269"
"South Africa",2024,"13334.3205"
"Spain",2010,"152.00804"
"Spain",2011,"890.0741"
"Spain",2012,"6951.4975"
"Spain",2013,"9536.1646"
"Spain",2014,"12172.582"
"Spain",2015,"17203.219"
"Spain",2016,"27022.343"
"Spain",2017,"39640.3531"
"Spain",2018,"69467.43"
"Spain",2019,"108537.04884"
"Spain",2020,"200023.1832"
"Spain",2021,"302412.225"
"Spain",2022,"423436.624"
"Spain",2023,"632180.62"
"Spain",2024,"749723.90"
"Sweden",2010,"8.001392"
"Sweden",2011,"378.0790"
"Sweden",2012,"2837.161"
"Sweden",2013,"4910.311"
"Sweden",2014,"13832.50082"
"Sweden",2015,"25994.0019"
"Sweden",2016,"43655.358"
"Sweden",2017,"69512.0132"
"Sweden",2018,"106591.8879"
"Sweden",2019,"159681.385"
"Sweden",2020,"303881.321"
"Sweden",2021,"476744.02"
"Sweden",2022,"662506.25"
"Sweden",2023,"832523.85"
"Sweden",2024,"938970.3"
"Switzerland",2011,"882.15"
"Switzerland",2012,"4526.928"
"Switzerland",2013,"6659.080"
"Switzerland",2014,"12233.415"
